ID_RECORD;date_time;latitude;longitude
83;2014-02-01 00:00:24.328023;41.8453117623572;12.5945532574323
84;2014-02-01 00:00:24.512062;41.8929914804175;12.4712211638689
85;2014-02-01 00:00:24.654386;41.9331899516031;12.5117847048568
86;2014-02-01 00:00:25.462468;41.8996410432057;12.4618550005358
87;2014-02-01 00:00:25.632406;41.7904902001173;12.2506423858324
88;2014-02-01 00:00:25.697679;41.8568358908155;12.4773773385372
89;2014-02-01 00:00:25.734882;41.9042511737689;12.4839190072599
90;2014-02-01 00:00:25.774039;41.9086630527271;12.5066009228874
91;2014-02-01 00:00:26.324962;41.8355646058252;12.4721527618107
92;2014-02-01 00:00:26.51784;41.8965482794286;12.4822388991087
93;2014-02-01 00:00:26.863984;41.9110568385551;12.4759366815692
94;2014-02-01 00:00:26.960028;41.897783275213;12.4693312066563
